config,rep,generation,range_deletions,cumulative_flushed_tombstones,flush_reason,is_active_generation
AMTV-T512,1,39,498,20000,Active MemTable Residual,True
AMTV-T512,2,1,515,515,Memtable Max Range Deletions,False
AMTV-T512,2,2,514,1029,Memtable Max Range Deletions,False
AMTV-T512,2,3,513,1542,Memtable Max Range Deletions,False
AMTV-T512,2,4,512,2054,Memtable Max Range Deletions,False
AMTV-T512,2,5,514,2568,Memtable Max Range Deletions,False
AMTV-T512,2,6,512,3080,Memtable Max Range Deletions,False
AMTV-T512,2,7,513,3593,Memtable Max Range Deletions,False
AMTV-T512,2,8,512,4105,Memtable Max Range Deletions,False
AMTV-T512,2,9,512,4617,Memtable Max Range Deletions,False
AMTV-T512,2,10,512,5129,Memtable Max Range Deletions,False
AMTV-T512,2,11,512,5641,Memtable Max Range Deletions,False
AMTV-T512,2,12,513,6154,Memtable Max Range Deletions,False
AMTV-T512,2,13,513,6667,Memtable Max Range Deletions,False
AMTV-T512,2,14,515,7182,Memtable Max Range Deletions,False
AMTV-T512,2,15,514,7696,Memtable Max Range Deletions,False
AMTV-T512,2,16,513,8209,Memtable Max Range Deletions,False
AMTV-T512,2,17,513,8722,Memtable Max Range Deletions,False
AMTV-T512,2,18,513,9235,Memtable Max Range Deletions,False
AMTV-T512,2,19,512,9747,Memtable Max Range Deletions,False
AMTV-T512,2,20,514,10261,Memtable Max Range Deletions,False
AMTV-T512,2,21,514,10775,Memtable Max Range Deletions,False
AMTV-T512,2,22,513,11288,Memtable Max Range Deletions,False
AMTV-T512,2,23,512,11800,Memtable Max Range Deletions,False
AMTV-T512,2,24,513,12313,Memtable Max Range Deletions,False
AMTV-T512,2,25,513,12826,Memtable Max Range Deletions,False
AMTV-T512,2,26,513,13339,Memtable Max Range Deletions,False
AMTV-T512,2,27,512,13851,Memtable Max Range Deletions,False
AMTV-T512,2,28,514,14365,Memtable Max Range Deletions,False
AMTV-T512,2,29,513,14878,Memtable Max Range Deletions,False
AMTV-T512,2,30,513,15391,Memtable Max Range Deletions,False
AMTV-T512,2,31,513,15904,Memtable Max Range Deletions,False
AMTV-T512,2,32,514,16418,Memtable Max Range Deletions,False
AMTV-T512,2,33,514,16932,Memtable Max Range Deletions,False
AMTV-T512,2,34,512,17444,Memtable Max Range Deletions,False
AMTV-T512,2,35,514,17958,Memtable Max Range Deletions,False
AMTV-T512,2,36,514,18472,Memtable Max Range Deletions,False
AMTV-T512,2,37,514,18986,Memtable Max Range Deletions,False
AMTV-T512,2,38,514,19500,Memtable Max Range Deletions,False
AMTV-T512,2,39,500,20000,Active MemTable Residual,True
AMTV-T512,3,1,514,514,Memtable Max Range Deletions,False
AMTV-T512,3,2,513,1027,Memtable Max Range Deletions,False
AMTV-T512,3,3,515,1542,Memtable Max Range Deletions,False
AMTV-T512,3,4,514,2056,Memtable Max Range Deletions,False
AMTV-T512,3,5,513,2569,Memtable Max Range Deletions,False
AMTV-T512,3,6,513,3082,Memtable Max Range Deletions,False
AMTV-T512,3,7,513,3595,Memtable Max Range Deletions,False
AMTV-T512,3,8,512,4107,Memtable Max Range Deletions,False
AMTV-T512,3,9,512,4619,Memtable Max Range Deletions,False
AMTV-T512,3,10,513,5132,Memtable Max Range Deletions,False
AMTV-T512,3,11,516,5648,Memtable Max Range Deletions,False
AMTV-T512,3,12,513,6161,Memtable Max Range Deletions,False
AMTV-T512,3,13,513,6674,Memtable Max Range Deletions,False
AMTV-T512,3,14,514,7188,Memtable Max Range Deletions,False
AMTV-T512,3,15,516,7704,Memtable Max Range Deletions,False
AMTV-T512,3,16,512,8216,Memtable Max Range Deletions,False
AMTV-T512,3,17,512,8728,Memtable Max Range Deletions,False
AMTV-T512,3,18,515,9243,Memtable Max Range Deletions,False
AMTV-T512,3,19,513,9756,Memtable Max Range Deletions,False
AMTV-T512,3,20,512,10268,Memtable Max Range Deletions,False
AMTV-T512,3,21,513,10781,Memtable Max Range Deletions,False
AMTV-T512,3,22,513,11294,Memtable Max Range Deletions,False
AMTV-T512,3,23,514,11808,Memtable Max Range Deletions,False
AMTV-T512,3,24,513,12321,Memtable Max Range Deletions,False
AMTV-T512,3,25,513,12834,Memtable Max Range Deletions,False
AMTV-T512,3,26,513,13347,Memtable Max Range Deletions,False
AMTV-T512,3,27,512,13859,Memtable Max Range Deletions,False
AMTV-T512,3,28,516,14375,Memtable Max Range Deletions,False
AMTV-T512,3,29,513,14888,Memtable Max Range Deletions,False
AMTV-T512,3,30,513,15401,Memtable Max Range Deletions,False
AMTV-T512,3,31,513,15914,Memtable Max Range Deletions,False
AMTV-T512,3,32,515,16429,Memtable Max Range Deletions,False
AMTV-T512,3,33,513,16942,Memtable Max Range Deletions,False
AMTV-T512,3,34,514,17456,Memtable Max Range Deletions,False
AMTV-T512,3,35,513,17969,Memtable Max Range Deletions,False
AMTV-T512,3,36,513,18482,Memtable Max Range Deletions,False
AMTV-T512,3,37,512,18994,Memtable Max Range Deletions,False
AMTV-T512,3,38,512,19506,Memtable Max Range Deletions,False
AMTV-T512,3,39,494,20000,Active MemTable Residual,True
