rep,configuration,flush_sequence,flush_reason,generation_range_delete_count,cumulative_flushed_range_deletes,tail_active_generation_range_deletes,flush_completion_window,tombstone_conservation_verified
1,Native-T512,19,Memtable Max Range Deletions,512,9732,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,20,Memtable Max Range Deletions,514,10246,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,21,Memtable Max Range Deletions,512,10758,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,22,Memtable Max Range Deletions,512,11270,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,23,Memtable Max Range Deletions,513,11783,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,24,Memtable Max Range Deletions,512,12295,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,25,Memtable Max Range Deletions,513,12808,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,26,Memtable Max Range Deletions,512,13320,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,27,Memtable Max Range Deletions,512,13832,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,28,Memtable Max Range Deletions,513,14345,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,29,Memtable Max Range Deletions,512,14857,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,30,Memtable Max Range Deletions,513,15370,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,31,Memtable Max Range Deletions,512,15882,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,32,Memtable Max Range Deletions,512,16394,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,33,Memtable Max Range Deletions,512,16906,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,34,Memtable Max Range Deletions,512,17418,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,35,Memtable Max Range Deletions,512,17930,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,36,Memtable Max Range Deletions,512,18442,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,37,Memtable Max Range Deletions,512,18954,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,38,Memtable Max Range Deletions,512,19466,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,39,Memtable Max Range Deletions,512,19978,22,Window 1 (Foreground Phase B),True
1,AMTV-T512,1,Memtable Max Range Deletions,513,513,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,2,Memtable Max Range Deletions,513,1026,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,3,Memtable Max Range Deletions,512,1538,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,4,Memtable Max Range Deletions,515,2053,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,5,Memtable Max Range Deletions,513,2566,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,6,Memtable Max Range Deletions,514,3080,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,7,Memtable Max Range Deletions,514,3594,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,8,Memtable Max Range Deletions,512,4106,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,9,Memtable Max Range Deletions,513,4619,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,10,Memtable Max Range Deletions,513,5132,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,11,Memtable Max Range Deletions,515,5647,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,12,Memtable Max Range Deletions,512,6159,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,13,Memtable Max Range Deletions,514,6673,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,14,Memtable Max Range Deletions,514,7187,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,15,Memtable Max Range Deletions,513,7700,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,16,Memtable Max Range Deletions,513,8213,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,17,Memtable Max Range Deletions,515,8728,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,18,Memtable Max Range Deletions,513,9241,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,19,Memtable Max Range Deletions,513,9754,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,20,Memtable Max Range Deletions,512,10266,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,21,Memtable Max Range Deletions,512,10778,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,22,Memtable Max Range Deletions,512,11290,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,23,Memtable Max Range Deletions,512,11802,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,24,Memtable Max Range Deletions,513,12315,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,25,Memtable Max Range Deletions,512,12827,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,26,Memtable Max Range Deletions,513,13340,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,27,Memtable Max Range Deletions,514,13854,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,28,Memtable Max Range Deletions,514,14368,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,29,Memtable Max Range Deletions,514,14882,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,30,Memtable Max Range Deletions,513,15395,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,31,Memtable Max Range Deletions,515,15910,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,32,Memtable Max Range Deletions,513,16423,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,33,Memtable Max Range Deletions,513,16936,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,34,Memtable Max Range Deletions,514,17450,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,35,Memtable Max Range Deletions,515,17965,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,36,Memtable Max Range Deletions,512,18477,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,37,Memtable Max Range Deletions,513,18990,498,Window 1 (Foreground Phase B),In-Progress
1,AMTV-T512,38,Memtable Max Range Deletions,512,19502,498,Window 1 (Foreground Phase B),True
2,Native-T512,1,Memtable Max Range Deletions,513,513,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,2,Memtable Max Range Deletions,512,1025,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,3,Memtable Max Range Deletions,512,1537,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,4,Memtable Max Range Deletions,513,2050,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,5,Memtable Max Range Deletions,513,2563,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,6,Memtable Max Range Deletions,512,3075,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,7,Memtable Max Range Deletions,512,3587,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,8,Memtable Max Range Deletions,515,4102,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,9,Memtable Max Range Deletions,512,4614,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,10,Memtable Max Range Deletions,513,5127,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,11,Memtable Max Range Deletions,512,5639,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,12,Memtable Max Range Deletions,512,6151,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,13,Memtable Max Range Deletions,512,6663,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,14,Memtable Max Range Deletions,512,7175,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,15,Memtable Max Range Deletions,513,7688,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,16,Memtable Max Range Deletions,512,8200,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,17,Memtable Max Range Deletions,515,8715,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,18,Memtable Max Range Deletions,512,9227,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,19,Memtable Max Range Deletions,512,9739,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,20,Memtable Max Range Deletions,516,10255,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,21,Memtable Max Range Deletions,513,10768,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,22,Memtable Max Range Deletions,512,11280,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,23,Memtable Max Range Deletions,512,11792,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,24,Memtable Max Range Deletions,512,12304,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,25,Memtable Max Range Deletions,514,12818,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,26,Memtable Max Range Deletions,513,13331,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,27,Memtable Max Range Deletions,513,13844,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,28,Memtable Max Range Deletions,512,14356,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,29,Memtable Max Range Deletions,514,14870,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,30,Memtable Max Range Deletions,512,15382,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,31,Memtable Max Range Deletions,513,15895,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,32,Memtable Max Range Deletions,512,16407,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,33,Memtable Max Range Deletions,513,16920,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,34,Memtable Max Range Deletions,512,17432,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,35,Memtable Max Range Deletions,512,17944,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,36,Memtable Max Range Deletions,512,18456,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,37,Memtable Max Range Deletions,514,18970,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,38,Memtable Max Range Deletions,512,19482,6,Window 1 (Foreground Phase B),In-Progress
2,Native-T512,39,Memtable Max Range Deletions,512,19994,6,Window 1 (Foreground Phase B),True
2,AMTV-T512,1,Memtable Max Range Deletions,514,514,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,2,Memtable Max Range Deletions,512,1026,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,3,Memtable Max Range Deletions,513,1539,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,4,Memtable Max Range Deletions,512,2051,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,5,Memtable Max Range Deletions,515,2566,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,6,Memtable Max Range Deletions,514,3080,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,7,Memtable Max Range Deletions,512,3592,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,8,Memtable Max Range Deletions,512,4104,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,9,Memtable Max Range Deletions,513,4617,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,10,Memtable Max Range Deletions,514,5131,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,11,Memtable Max Range Deletions,514,5645,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,12,Memtable Max Range Deletions,515,6160,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,13,Memtable Max Range Deletions,515,6675,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,14,Memtable Max Range Deletions,512,7187,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,15,Memtable Max Range Deletions,513,7700,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,16,Memtable Max Range Deletions,512,8212,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,17,Memtable Max Range Deletions,513,8725,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,18,Memtable Max Range Deletions,512,9237,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,19,Memtable Max Range Deletions,513,9750,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,20,Memtable Max Range Deletions,514,10264,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,21,Memtable Max Range Deletions,514,10778,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,22,Memtable Max Range Deletions,512,11290,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,23,Memtable Max Range Deletions,513,11803,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,24,Memtable Max Range Deletions,514,12317,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,25,Memtable Max Range Deletions,515,12832,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,26,Memtable Max Range Deletions,513,13345,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,27,Memtable Max Range Deletions,513,13858,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,28,Memtable Max Range Deletions,514,14372,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,29,Memtable Max Range Deletions,514,14886,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,30,Memtable Max Range Deletions,513,15399,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,31,Memtable Max Range Deletions,515,15914,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,32,Memtable Max Range Deletions,513,16427,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,33,Memtable Max Range Deletions,514,16941,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,34,Memtable Max Range Deletions,513,17454,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,35,Memtable Max Range Deletions,512,17966,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,36,Memtable Max Range Deletions,514,18480,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,37,Memtable Max Range Deletions,513,18993,494,Window 1 (Foreground Phase B),In-Progress
2,AMTV-T512,38,Memtable Max Range Deletions,513,19506,494,Window 1 (Foreground Phase B),True
3,Native-T512,1,Memtable Max Range Deletions,512,512,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,2,Memtable Max Range Deletions,513,1025,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,3,Memtable Max Range Deletions,512,1537,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,4,Memtable Max Range Deletions,512,2049,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,5,Memtable Max Range Deletions,512,2561,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,6,Memtable Max Range Deletions,513,3074,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,7,Memtable Max Range Deletions,513,3587,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,8,Memtable Max Range Deletions,512,4099,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,9,Memtable Max Range Deletions,512,4611,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,10,Memtable Max Range Deletions,512,5123,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,11,Memtable Max Range Deletions,512,5635,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,12,Memtable Max Range Deletions,513,6148,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,13,Memtable Max Range Deletions,512,6660,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,14,Memtable Max Range Deletions,512,7172,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,15,Memtable Max Range Deletions,512,7684,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,16,Memtable Max Range Deletions,512,8196,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,17,Memtable Max Range Deletions,512,8708,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,18,Memtable Max Range Deletions,513,9221,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,19,Memtable Max Range Deletions,514,9735,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,20,Memtable Max Range Deletions,512,10247,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,21,Memtable Max Range Deletions,512,10759,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,22,Memtable Max Range Deletions,512,11271,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,23,Memtable Max Range Deletions,513,11784,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,24,Memtable Max Range Deletions,512,12296,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,25,Memtable Max Range Deletions,513,12809,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,26,Memtable Max Range Deletions,513,13322,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,27,Memtable Max Range Deletions,512,13834,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,28,Memtable Max Range Deletions,512,14346,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,29,Memtable Max Range Deletions,512,14858,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,30,Memtable Max Range Deletions,513,15371,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,31,Memtable Max Range Deletions,512,15883,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,32,Memtable Max Range Deletions,512,16395,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,33,Memtable Max Range Deletions,512,16907,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,34,Memtable Max Range Deletions,512,17419,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,35,Memtable Max Range Deletions,514,17933,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,36,Memtable Max Range Deletions,512,18445,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,37,Memtable Max Range Deletions,512,18957,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,38,Memtable Max Range Deletions,512,19469,19,Window 1 (Foreground Phase B),In-Progress
3,Native-T512,39,Memtable Max Range Deletions,512,19981,19,Window 1 (Foreground Phase B),True
3,AMTV-T512,1,Memtable Max Range Deletions,513,513,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,2,Memtable Max Range Deletions,514,1027,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,3,Memtable Max Range Deletions,513,1540,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,4,Memtable Max Range Deletions,512,2052,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,5,Memtable Max Range Deletions,513,2565,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,6,Memtable Max Range Deletions,515,3080,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,7,Memtable Max Range Deletions,513,3593,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,8,Memtable Max Range Deletions,513,4106,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,9,Memtable Max Range Deletions,512,4618,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,10,Memtable Max Range Deletions,513,5131,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,11,Memtable Max Range Deletions,513,5644,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,12,Memtable Max Range Deletions,513,6157,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,13,Memtable Max Range Deletions,512,6669,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,14,Memtable Max Range Deletions,513,7182,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,15,Memtable Max Range Deletions,513,7695,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,16,Memtable Max Range Deletions,513,8208,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,17,Memtable Max Range Deletions,512,8720,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,18,Memtable Max Range Deletions,513,9233,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,19,Memtable Max Range Deletions,513,9746,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,20,Memtable Max Range Deletions,512,10258,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,21,Memtable Max Range Deletions,513,10771,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,22,Memtable Max Range Deletions,515,11286,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,23,Memtable Max Range Deletions,513,11799,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,24,Memtable Max Range Deletions,513,12312,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,25,Memtable Max Range Deletions,512,12824,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,26,Memtable Max Range Deletions,514,13338,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,27,Memtable Max Range Deletions,513,13851,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,28,Memtable Max Range Deletions,514,14365,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,29,Memtable Max Range Deletions,512,14877,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,30,Memtable Max Range Deletions,513,15390,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,31,Memtable Max Range Deletions,512,15902,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,32,Memtable Max Range Deletions,513,16415,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,33,Memtable Max Range Deletions,513,16928,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,34,Memtable Max Range Deletions,513,17441,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,35,Memtable Max Range Deletions,513,17954,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,36,Memtable Max Range Deletions,513,18467,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,37,Memtable Max Range Deletions,513,18980,508,Window 1 (Foreground Phase B),In-Progress
3,AMTV-T512,38,Memtable Max Range Deletions,512,19492,508,Window 1 (Foreground Phase B),True
4,Native-T512,1,Memtable Max Range Deletions,512,512,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,2,Memtable Max Range Deletions,513,1025,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,3,Memtable Max Range Deletions,513,1538,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,4,Memtable Max Range Deletions,512,2050,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,5,Memtable Max Range Deletions,512,2562,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,6,Memtable Max Range Deletions,512,3074,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,7,Memtable Max Range Deletions,513,3587,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,8,Memtable Max Range Deletions,512,4099,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,9,Memtable Max Range Deletions,513,4612,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,10,Memtable Max Range Deletions,512,5124,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,11,Memtable Max Range Deletions,513,5637,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,12,Memtable Max Range Deletions,513,6150,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,13,Memtable Max Range Deletions,514,6664,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,14,Memtable Max Range Deletions,512,7176,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,15,Memtable Max Range Deletions,512,7688,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,16,Memtable Max Range Deletions,512,8200,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,17,Memtable Max Range Deletions,514,8714,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,18,Memtable Max Range Deletions,512,9226,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,19,Memtable Max Range Deletions,513,9739,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,20,Memtable Max Range Deletions,515,10254,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,21,Memtable Max Range Deletions,512,10766,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,22,Memtable Max Range Deletions,512,11278,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,23,Memtable Max Range Deletions,513,11791,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,24,Memtable Max Range Deletions,512,12303,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,25,Memtable Max Range Deletions,513,12816,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,26,Memtable Max Range Deletions,512,13328,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,27,Memtable Max Range Deletions,513,13841,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,28,Memtable Max Range Deletions,512,14353,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,29,Memtable Max Range Deletions,513,14866,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,30,Memtable Max Range Deletions,512,15378,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,31,Memtable Max Range Deletions,512,15890,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,32,Memtable Max Range Deletions,512,16402,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,33,Memtable Max Range Deletions,512,16914,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,34,Memtable Max Range Deletions,512,17426,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,35,Memtable Max Range Deletions,512,17938,11,Window 1 (Foreground Phase B),In-Progress
4,Native-T512,36,Memtable Max Range Deletions,513,18451,11,Window 1 (Foreground Phase B),In-Progress
