Category,Item,Value,Source_or_Validation_Command,Status_or_Note
RocksDB_Metric,Block_Cache_Index_Miss,Tickers::BLOCK_CACHE_INDEX_MISS,include/rocksdb/statistics.h,Available
RocksDB_Metric,Block_Cache_Filter_Hit,Tickers::BLOCK_CACHE_FILTER_HIT,include/rocksdb/statistics.h,Available
RocksDB_Metric,Block_Cache_Filter_Miss,Tickers::BLOCK_CACHE_FILTER_MISS,include/rocksdb/statistics.h,Available
RocksDB_Metric,Compaction_Key_Drop_Range_Del,Tickers::COMPACTION_KEY_DROP_RANGE_DEL,include/rocksdb/statistics.h,Available (Count of keys dropped by tombstones)
RocksDB_Metric,Tombstone_Self_Drop_Count,None,include/rocksdb/statistics.h,Unavailable (Native lacks standalone self-tombstone drop ticker)
RocksDB_Metric,Range_Tombstone_Count_SST,TableProperties::num_range_deletions,include/rocksdb/table_properties.h,Available (via kAggregatedTableProperties)
RocksDB_Metric,Active_Memtable_Deletes,DB::Properties::kNumDeletesActiveMemTable,include/rocksdb/db.h,Partially Available (Point deletes only)
RocksDB_Metric,Total_SST_Files_Size,DB::Properties::kTotalSstFilesSize,include/rocksdb/db.h,Available
RocksDB_Metric,Live_SST_Files_Size,DB::Properties::kLiveSstFilesSize,include/rocksdb/db.h,Available
RocksDB_Metric,Estimate_Live_Data_Size,DB::Properties::kEstimateLiveDataSize,include/rocksdb/db.h,Available
